query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugzwmsf4oo3zhyxJ51p4AaABAg,3 months ago,2,,The robots look alive??,@kensteffes6712,https://yt3.ggpht.com/ytc/AIdro_mOC0J8AB_j5Raafoztktq0Z1TCHUdV48MPZespQew=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCE0UVFqPjRa_YVY4d276Nww,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugytr7c5KvNe4AWT8jN4AaABAg,11 days ago,1,,"Ich liebe Pr�zision , deutsche Genauigkeit. Das Fahrerlebnis Porsche ist wie eine Luxus Rakete auf der Stra�e !!!????",@norbertbrinkmann1966,https://yt3.ggpht.com/JzYqys3DERvBPtbjyIRzc2dnUUpQ3uk1pW0OPx57lcpv57TbUpK85Vqr9Y36djhGP2IRsHj4tQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOiZi6qkfEqWJKWON6_8v1Q,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxupwOgjqTq0LcOKb54AaABAg,4 months ago,4,,Perfect Engeenaring hard worker guys everybody work design of one any car superbly wow finishing,@StalhaTalha,https://yt3.ggpht.com/w870-sZXdkVfP0Z4B48fO5OIrxOL2u7pyHp9P4EiLcum8WMtLnBKqeaCgd9IvzrgrBCIqXbV=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCV9YA1PGTFg-XURY_jp0mXQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwnR0t6dAmOP1N1u7d4AaABAg,2 months ago,1,,engineering at its finnest. love this kind of documentary,@AlessandroRicci-l3b9z,https://yt3.ggpht.com/b51M2CotE_S2qwjQxqXkPzs6Ty2njIYBLFefYQwKaE9p8Gq8oiAE51G61LjSnZQF334gNMH_jg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCnmSaR-JruMZfxiLDNeg9vA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugz0Jmd3n2H7ll2OFM14AaABAg,4 months ago,2,,I like and love? it,@tajamulshah-i5v,https://yt3.ggpht.com/ytc/AIdro_ldcqIjk3u_wRvCk5k-D5jf9XUJ7ofgOrQepsay8Y-kubvPWVEhgpZuPf-DU0EM_N3Y9Q=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCsyS5v6ZdvYVsWP9V1SCiDQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxWoN08pFgSEIrwNBJ4AaABAg,1 month ago,2,,almost got a job there in the '70's. No work permit as an American otherwise would have been hired. Wish I had !,@roberttripp2544,https://yt3.ggpht.com/ytc/AIdro_mfbIsSGY29m2c8S7BiwcNlMuEXhmNBcvjYd3JPyo4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC2SRPmmcNGWgY8tlxhwmrbg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugz-C7m6zi2WOWciBNl4AaABAg,3 months ago,32,4,I want to know who's their barber,@MotionScientific,https://yt3.ggpht.com/bQfRUNJovDnuVWUKnn6Ly-bDMK4eWXu0vGkA1BNS5lftMZOHjg6MyDAvH8oTCnte0M4iA5qxVmE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCSrTZW-pApcZMvV3BuPgoFA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugz-omB92MNS7BGTGUJ4AaABAg,5 months ago,3,,??????????,@?????-?5?6?,https://yt3.ggpht.com/ytc/AIdro_mmv54DtZh8eOenD0fNGnqOwfrfkcOyQEOsgaIxjmUn0vQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC7tUZ7dR1yrbpDjlKN-pQwA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugzjth0PeSSrUw2anAB4AaABAg,1 month ago,1,,Wow ??,@pankajbishtrajput,https://yt3.ggpht.com/r41bfs1c2KlvB1NC53pUt_VQGhxN3KBZjhF2TSvrSVl5i9k_nISWF37dTp41pNSP7wUe0u_wqw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCUqhahxJpMleIfue5CRwdOg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugyg4_17jbmw2tCpK314AaABAg,1 month ago,1,1,hand crafted!,@betrue-845,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCqxy-tiMu0BATzQQ3UEkquA,FALSE,FALSE,FALSE
